serial,participant,trial,angle,is.correct,rt
174,2,154,160,1,2.13924251
175,2,155,40,1,1.756466645
176,2,169,160,1,2.457922454
177,2,177,80,1,1.458651799
178,2,180,40,1,0.813607533
179,2,181,80,1,0.88673019
180,2,182,40,1,0.990284762
181,2,187,160,1,2.292600031
182,2,188,160,1,2.343921111
183,2,191,0,1,0.772794853
184,2,201,160,1,1.461827731
185,2,208,40,1,0.689444593
186,2,210,80,1,1.148354215
187,2,211,120,1,1.262101016
188,2,212,80,1,1.142932995
189,2,215,120,1,1.994880364
190,2,217,40,1,1.713667595
191,2,224,160,1,2.421446459
192,2,227,80,1,0.822742577
193,2,232,120,1,2.36830858
194,2,233,160,1,1.609712613
195,2,237,120,1,1.536588132
196,2,243,0,1,0.702570612
197,2,244,0,1,0.62698751
198,2,246,80,1,0.773539514
199,2,247,160,1,1.279343094
200,2,250,160,1,1.211218637
201,2,253,120,1,2.48565871
202,2,258,160,1,2.217531846
203,2,259,120,1,1.144184186
204,2,263,40,1,0.761801438
205,2,275,120,1,1.327221302
206,2,276,0,1,0.708589896
207,2,280,80,1,1.785224713
208,2,281,0,1,0.609231974
209,2,293,160,1,3.481184544
210,2,296,80,1,2.663825261
211,2,300,80,1,0.849482913
212,2,301,0,1,0.621757014
213,2,304,160,1,2.839222489
214,2,306,120,1,1.153936621
215,2,307,0,1,0.617704044
216,2,318,80,1,0.700899319
217,2,326,40,1,0.680404728
218,2,327,40,1,0.695721335
219,2,341,160,1,2.105862948
220,2,349,120,1,0.958906887
221,2,360,160,1,2.780484336
222,2,362,40,1,1.278350091
223,2,363,80,1,1.266189724
224,2,370,40,1,0.684358507
225,2,371,0,1,0.642091513
226,2,375,80,1,0.997130757
227,2,381,120,1,2.10787047
228,2,382,120,1,1.041475654
229,2,390,160,1,2.59435188
230,2,391,40,1,1.565399442
231,2,393,160,1,1.307449492
232,2,395,120,1,2.497198404
233,2,396,120,1,1.745413059
234,2,397,40,1,0.98017276
235,2,398,40,1,0.881097824
236,2,405,80,1,0.694696241
237,2,406,80,1,0.822459592
238,2,407,80,1,0.720112086
239,2,411,0,1,0.658777829
240,2,413,40,1,1.027561942
241,2,414,80,1,0.827038054
242,2,420,120,1,2.853407153
243,2,428,120,1,1.518848642
244,2,429,0,1,0.670309866
245,2,431,0,1,0.551063804
